Sentences,Categorie
Lisa went to the supermarket yesterday.,1
Sam cooked a tasty dinner yesterday.,1
My brother saw a movie yesterday.,1
"Last year, I travelled to France.",1
I washed the dishes.,1
My mother bought a dress for me.,1
Sam stayed in Los Angeles for two years.,1
I learned how to play the guitar five months ago.,1
My brother waited hours at the railway station.,1
Ritz talked to his mom for two hours on the phone.,1
My uncle came to your house last year.,1
I played tennis when I was young.,1
Shina worked as a waitress while she was in college.,1
Did you go to playschool when you were a kid?,1
Shaun learnt Japanese when he was four years old.,1
My mom used to dance when she was in school.,1
My sister hated broccoli when she was a child.,1
Sheldon didn’t have friends as a child.,1
People wrote letters to communicate in the past.,1
I knew he had some problems from the very first time I saw him.,1
Maximus wasn’t a big fan of horror movies when he was in school.,1
I saw a movie yesterday.,1
I didn't see a play yesterday.,1
"Last year, I traveled to Japan.",1
"Last year, I didn't travel to Korea.",1
Did you have dinner last night?,1
She washed her car.,1
He didn't wash his car.,1
I lived in Brazil for two years.,1
Shauna studied Japanese for five years.,1
They sat at the beach all day.,1
They did not stay at the party the entire time.,1
We talked on the phone for thirty minutes.,1
How long did you wait for them?,1
We waited for one hour.,1
I studied French when I was a child.,1
He played the violin.,1
He didn't play the piano.,1
Did you play a musical instrument when you were a kid?,1
She worked at the movie theater after school.,1
"They never went to school, they always skipped class.",1
"She was shy as a child, but now she is very outgoing.",1
He didn't like tomatoes before.,1
Did you live in Texas when you were a kid?,1
People paid much more to make cell phone calls in the past.,1
I played when I was younger.,1
I saw the angel in the marble and carved until I set him free. ,1
"Drawing on my fine command of the English language, I said nothing.",1
Every man is guilty of all the good he did not do. ,1
"I wanted to buy a candle holder, but the store didn't have one. So I got a cake.",1
I have never played a hero before so I jumped at the chance.,1
My fake plants died because I did not pretend to water them.,1
I was playing for an hour.,1
I was falling asleep when the phone rang.,1
"We were preparing a picnic, and then it started to rain.",1
"I feel like I sort of missed the eighties. At the time, we didn't know we were having fun, which is probably the way it always is. ",1
"She was seeing a psychiatrist, two plumbers, and a bartender. ",1
I told my therapist I was having nightmares about nuclear explosions. He said don't worry it's not the end of the world. ,1
I have an idea that the phrase 'weaker sex' was coined by some woman to disarm the man she was preparing to overwhelm. ,1
"I was having trouble making ends meet, and my beginnings weren't meeting either.",1
I was playing for an hour.,1
I was falling asleep when the phone rang.,1
"We were preparing a picnic, and then it started to rain.",1
"I feel like I sort of missed the eighties. At the time, we didn't know we were having fun, which is probably the way it always is. ",1
"She was seeing a psychiatrist, two plumbers, and a bartender. ",1
I told my therapist I was having nightmares about nuclear explosions. He said don't worry it's not the end of the world. ,1
I have an idea that the phrase 'weaker sex' was coined by some woman to disarm the man she was preparing to overwhelm. ,1
"I was having trouble making ends meet, and my beginnings weren't meeting either. ",1
I had played already.,1
"I had crossed the line. I was free, but there was no one to welcome me to the land of freedom. I was a stranger in a strange land. ",1
I had seen birth and death but had thought they were different.  ,1
"There are so many things that we wish we had done yesterday, so few that we feel like doing today. ",1
I phoned my dad to tell him I had stopped smoking. He called me a quitter.,1
"When I was younger, I could remember anything, whether it had happened or not.",1
If we had had more time for discussion we should probably have made a great many more mistakes.  ,1
What a wonderful life I've had! I only wish I'd realized it sooner. ,1
I had always seen myself as a star; I wanted to be a galaxy. ,1
I had been playing since I was ten.,1
"I had been weeding my garden for weeks, but I just surrendered to the weeds in the end.",1
The jury had been considering its verdict for several hours when the judge effectively ordered them to find Jones guilty.,1
"I was coming home from kindergarten. Well, they told me it was kindergarten. I found out later I had been working in a factory for ten years. ",1
"I had been writing fiction since I was in eighth grade, because I loved it. ",1
"I thought that I was learning how to live, but I had been learning how to die. ",1
"Even though I had been boxing for three years, I had no idea that I could beat somebody in the ring.",1
Many people had been asking me to write an autobiography. I thought I'd better tell my story before other people told it for me. ,1
It was funny to read a script that was so similar to what had been going on in my life.  ,1
I'd been shouting and shouting and no one wanted to hear me. ,1
Bill attended the program.,1
Tom performed in the show.,1
Alice was practicing on the tennis court.,1
Jim had been there a long time ago.,1
I was waiting for my friends.,1
Peter had been cooking the meal before we reached there.,1
Alana was happy to hear the news.,1
Jeff had left the place before we reached.,1
Rock was singing in the show.,1
Bob was playing football in the field.,1
They were practicing cricket for the upcoming tournament.,1
Alex was excited to go to the concert.,1
Dana wrote the letter.,1
I was attending the class.,1
I prepared the design.,1
Albert was sick.,1
Patrick went to the library.,1
John had written the application before you came.,1
Paul started reading after the teacher had entered the room.,1
Rick was exhausted.,1
I wrote articles on different topics.,1
He read various kinds of books.,1
They played football in that field.,1
She preferred coffee to tea.,1
He went to the library yesterday.,1
We came for shopping in this market last week.,1
We watched a movie in this Cineplex yesterday.,1
You used to shop in that market.,1
"I sang different kinds of songs, especially modern.",1
I listened to melodious songs last evening.,1
He loved to travel around the world.,1
They played cricket in that field last week.,1
The poet wrote a romantic poem.,1
The lyricist wrote a realistic song for the program.,1
Did you go to the concert of realistic songs?,1
I could not attend the program because of my busy schedule.,1
He was a man of parts.,1
I helped him to do the task.,1
We enjoyed the program thoroughly.,1
I went to the Dhaka International Trade Fair with my elder brother.,1
I was writing articles on different topics.,1
He was reading various kinds of books.,1
They were playing football in that field.,1
She was drinking coffee in that coffee shop.,1
He was studying in the library.,1
We were shopping in this market last week.,1
We were watching a movie in this Cineplex yesterday.,1
You were shopping in that market.,1
"I was singing different kinds of songs, especially modern.",1
I was listening to melodious songs last evening.,1
He was traveling around the world.,1
They were playing hockey on that field last week.,1
The poet was writing a romantic poem.,1
The lyricist was writing a realistic song for the program.,1
Were you enjoying the concert of realistic songs?,1
I was not watching the cricket match on television.,1
He was practicing to sing the song for the program.,1
I was helping him to do the task.,1
We were enjoying the program thoroughly.,1
I was shopping at the Dhaka International Trade Fair with my elder brother.,1
I had written articles on various topics before he came.,1
He had read different kinds of books before you came.,1
They had played football in that field before it started to rain.,1
She had gone to the coffee shop before she came home.,1
He had studied in the library before he came to the class.,1
I came here after you had left.,1
We had shopped in that shop before we came home.,1
We had watched a movie in that Cineplex before he came.,1
You had shopped in that market before you came home.,1
I had practiced the songs before the program started.,1
I had listened to melodious songs before I started the work.,1
He had traveled around the world before he came to Bangladesh.,1
They had played hockey in that field before it started to rain.,1
The poet had written a romantic poem before he came to the program.,1
The lyricist had come to the program before the minister came.,1
Had you come to the program before I came?,1
I had not watched the cricket match on television before you came.,1
He had not practiced the song before he sang it in the program.,1
I helped him to do the task after I had finished my work.,1
We had taken an ice-cream before we left the ice-cream parlor.,1
I had been writing articles on various topics for three hours.,1
He had been reading different kinds of books since morning.,1
They had been playing football in that field before it started to rain.,1
Jane had been gossiping in the coffee shop for two hours.,1
Jeff had been studying in the library before he came to the class.,1
We had been shopping in that shop before we came home.,1
We had been watching a movie in this Cineplex for three hours.,1
You had been shopping in that market before you came home.,1
I had been singing different kinds of songs for an hour.,1
I had been listening to melodious songs for two hours.,1
Tom had been traveling around the world since the month of December.,1
They had been playing hockey on that field for three hours.,1
The poet had been writing romantic poems since morning.,1
The lyricist had been writing realistic songs since the beginning of his career.,1
Had you not been enjoying the concert for three hours?,1
I had not been watching the cricket match on television for two hours.,1
Richard had been practicing to sing the song since morning.,1
I had been helping him to do the task before I started the program.,1
We had been enjoying the program thoroughly for three hours.,1
I had been shopping with my elder brother in the fair since morning.,1
I refused to help him.,1
They played football yesterday.,1
I lived in Mumbai with friends.,1
I went on a picnic last week.,1
They plucked all the flowers.,1
She left from here at 9 am.,1
They got married last month.,1
I ate a burger for breakfast.,1
I forgot to bring my book.,1
I woke up very late today.,1
Did you lose the match?,1
She came a few minutes ago.,1
I went to London last year.,1
I met my husband 5 years ago.,1
I saw her in the library yesterday.,1
I met him for the first time in a park.,1
I finished my graduation in 2017.,1
We got married five years ago.,1
I bought this car five months ago.,1
I bought my first mobile in 2010.,1
The police caught the thief last night.,1
I did not eat anything yesterday.,1
He left the company in 2016.,1
He adopted a dog last week.,1
She came to my house yesterday.,1
50 Simple Past Tense Examples,1
I read an interesting novel last night.,1
My mother made a cake for me.,1
She knew how to cook.,1
He knew how to drive a car.,1
She wanted me to become a doctor.,1
They wanted you to go there.,1
I got 90 marks out of 100.,1
I forgot to submit my assignment.,1
I forgot to turn off the light.,1
I went to the market in the morning.,1
She got engaged to someone else.,1
He did not invite us to the party.,1
They painted the house in a week.,1
I talked to him about it on Monday.,1
She went to the US on 26 July.,1
My boyfriend bought me a dress.,1
Rohan slapped him for no reason.,1
I got your number from my friend.,1
I slept at around 11 o’clock last night.,1
I talked to her for a long time yesterday.,1
I started learning French last week.,1
We played basketball yesterday.,1
 I went to the airport by taxi.,1
He snored loudly while he slept.,1
 I only slept for three hours.,1
 Where did you go last Sunday?,1
 The mice ate some of the bread.,1
We ate sandwiches for breakfast.,1
 How did your interview go?,1
Why did you say such a thing?,1
 I watched an old movie on TV.,1
 She made pancakes for breakfast.,1
 Our team lost the first game.,1
I wrote a love letter last night.,1
" He sold the car for 8,000 dollars.",1
They went out before I knew it.,1
 The nurse took his temperature.,1
 She lived in Kyoto three years ago.,1
A drunk man fell down the stairs.,1
I bought two bottles of milk.,1
 He jumped out the window.,1
 I caught my finger in the door.,1
 A fire broke out near my house.,1
 She wrote a book on politics.,1
" He sold the car for 8,000 dollars.",1
 A drunk man fell down the stairs.,1
 He taught me how to write a poem.,1
His wife opened the door for him.,1
 How did your interview go?,1
I didn’t know where it came from.,1
I didn’t see either boy.,1
Did you do your homework?,1
I forget your telephone number.,1
 He beat the dog with a stick.,1
 I forgot to lock the door.,1
I found it easy to speak English.,1
He snored loudly while he slept.,1
I found my lost money.,1
 Kate made an apple pie.,1
She didn’t go to school daily.,1
You read this chapter.,1
I listened to songs every morning.,1
She completed her work on time.,1
Did cats drink milk,1
She was learning the chapter.,1
The teacher was teaching in the class.,1
Were birds chirping on trees?,1
They weren’t going anywhere.,1
Some people were following her,1
She had watched this movie.,1
I had never gone there.,1
Had he completed his work?,1
Had they taken their lunch?,1
We had learned this lesson,1
She had watched this movie.,1
I had never gone there.,1
Had he completed his work?,1
Had they taken their lunch?,1
We had learned this lesson.,1
We had been living here since 1992.,1
It had been raining since morning.,1
Children had been studying for two hours.,1
Jack had been doing this work for five hours.,1
Ben had not been playing a video game since 6 p.m.,1
They were watching the match all night.,1
I went out with my family,1
Joy was walking towards the field.,1
The train left a few minutes back. ,1
The teacher taught us about modals. ,1
We drove to California last week. ,1
The actress stood next to the director. ,1
The thieves broke into the house last night.,1
She received a trophy for the competition on the last day.,1
My cousin was playing chess last night. ,1
I had seen Rohan before he came.,1
We had watched the movie last night. ,1
The opponent team played with dedication. ,1
Ankit ate all the biscuits. ,1
Ashok was removing the fan from the roof when he fell off,1
I jumped.,1
We jumped.,1
You jumped.,1
The lion jumped.,1
The lions jumped.,1
I cleaned.,1
I cleaned my room.,1
Tim cooked.,1
Tim cooked bacon.,1
I was an artist.,1
She was rich.,1
We were artists.,1
They were rich.,1
I did not eat the pizza.,1
He didn’t go to the bank.,1
We didn’t watch the movie.,1
My friends did not lie to me.,1
I was not a bad kid.,1
She wasn’t tired.,1
We were not alone.,1
My parents weren’t amused.,1
"Ashley solved the math problem, but I could not.",1
"She passed the math test, but I didn’t.",1
He was here last year.,1
I saw a movie last week.,1
You had a black pencil.,1
"I finished work, walked to the beach and met my friends.",1
I worked in the IT sector.,1
I lived in Italy for five years.,1
The milk used to cost 10 rupees per liter some years ago.,1
I often played football when I was a young man.,1
She smiled at me.,1
I played football yesterday.,1
The fox tried again.,1
He saw his family last week.,1
Why did you cry?,1
I was in France in June.,1
I stopped at your home.,1
